Order ID,Order Date,Region,Country,Customer Name,Product Category,Product Name,ASP,Quantity,Total Revenue
ORD-202309986,2023-01-01,North America,United States,Elite Elite Systems,Electronics,Docking Station,184.04,6,1104.24
ORD-202325336,2023-01-01,LATAM,Mexico,Apex Elite Systems,Electronics,"4K Monitor 27""",345.53,11,3800.83
ORD-202315895,2023-01-01,North America,United States,Apex Apex Ltd.,Electronics,Pro Smartphone 15,1002.65,3,3007.95
ORD-202328380,2023-01-01,EMEA,United Kingdom,Next Beta Ltd.,Software,Team Collaboration Tool,208.97,5,1044.85
ORD-202318954,2023-01-01,APAC,Singapore,Next Delta Ltd.,Office Supplies,Ergonomic Chair,382.53,2,765.06
ORD-202305012,2023-01-01,EMEA,Netherlands,Summit Delta Corp.,Office Supplies,Standing Desk,549.05,10,5490.5
ORD-202300705,2023-01-01,EMEA,United Kingdom,Beta Delta Inc.,Electronics,Enterprise Laptop X1,1250.88,2,2501.76
ORD-202323632,2023-01-01,North America,Canada,Global Gamma Corp.,Electronics,Enterprise Laptop X1,1254.43,1,1254.43
ORD-202302996,2023-01-01,North America,Canada,Summit Global Group,Software,Security Suite,1585.72,8,12685.76
ORD-202306988,2023-01-01,EMEA,Netherlands,Delta Delta Systems,Electronics,Wireless Headset,144.33,3,432.99
ORD-202302677,2023-01-01,EMEA,United Kingdom,Summit Summit Solutions,Electronics,"4K Monitor 27""",344.14,2,688.28
ORD-202324348,2023-01-01,EMEA,France,Gamma Elite Group,Electronics,Enterprise Laptop X1,1267.49,6,7604.94
ORD-202313699,2023-01-01,EMEA,Germany,Apex Apex Ltd.,Electronics,Pro Smartphone 15,883.21,1,883.21
ORD-202320680,2023-01-01,EMEA,United Kingdom,Prime Alpha Systems,Electronics,Enterprise Laptop X1,1166.19,3,3498.57
ORD-202308214,2023-01-01,EMEA,Germany,Beta Prime Corp.,Electronics,Docking Station,197.6,1,197.6
ORD-202320597,2023-01-01,EMEA,France,Beta Next Systems,Electronics,"4K Monitor 27""",333.59,1,333.59
ORD-202305933,2023-01-01,APAC,Singapore,Alpha Global Inc.,Electronics,Pro Smartphone 15,917.1,6,5502.6
ORD-202314126,2023-01-01,APAC,Singapore,Global Gamma Corp.,Office Supplies,Standing Desk,601.35,3,1804.05
ORD-202318066,2023-01-01,LATAM,Mexico,Apex Delta Solutions,Office Supplies,Standing Desk,589.74,1,589.74
ORD-202317203,2023-01-01,North America,United States,Elite Alpha Inc.,Electronics,"4K Monitor 27""",347.49,1,347.49
ORD-202323634,2023-01-01,North America,United States,Summit Elite Corp.,Electronics,Docking Station,211.58,9,1904.22
ORD-202310948,2023-01-01,EMEA,Netherlands,Next Beta Group,Software,Team Collaboration Tool,212.6,3,637.8
ORD-202311952,2023-01-01,APAC,Australia,Gamma Next Group,Electronics,Enterprise Laptop X1,1203.18,4,4812.72
ORD-202316378,2023-01-01,North America,Canada,Beta Elite Systems,Electronics,Wireless Headset,152.09,6,912.54
ORD-202306331,2023-01-01,EMEA,France,Gamma Next Group,Electronics,Enterprise Laptop X1,1014.41,2,2028.82
ORD-202307872,2023-01-01,North America,Canada,Summit Global Group,Electronics,Enterprise Laptop X1,1205.88,44,53058.72
ORD-202323891,2023-01-01,EMEA,France,Summit Gamma Group,Software,Cloud License (Annual),4931.34,4,19725.36
ORD-202300187,2023-01-01,EMEA,France,Beta Beta Solutions,Software,Cloud License (Annual),5164.89,2,10329.78
ORD-202315931,2023-01-01,APAC,Singapore,Prime Apex Inc.,Electronics,Enterprise Laptop X1,1210.08,20,24201.6
ORD-202300475,2023-01-01,APAC,Australia,Beta Gamma Inc.,Electronics,Wireless Headset,145.81,1,145.81
ORD-202321782,2023-01-01,LATAM,Brazil,Elite Prime Ltd.,Software,Team Collaboration Tool,195.11,1,195.11
ORD-202310139,2023-01-01,North America,United States,Next Global Ltd.,Electronics,Docking Station,221.95,7,1553.65
ORD-202321625,2023-01-01,North America,Canada,Global Elite Ltd.,Office Supplies,Ergonomic Chair,372.04,2,744.08
ORD-202301985,2023-01-01,North America,Canada,Apex Delta Group,Electronics,Enterprise Laptop X1,1129.05,4,4516.2
ORD-202318904,2023-01-01,EMEA,France,Apex Delta Group,Electronics,Wireless Headset,157.97,4,631.88
ORD-202310101,2023-01-01,EMEA,Netherlands,Gamma Delta Systems,Software,Team Collaboration Tool,183.76,22,4042.72
ORD-202317784,2023-01-01,North America,Canada,Global Global Inc.,Electronics,Enterprise Laptop X1,1269.55,1,1269.55
ORD-202321909,2023-01-01,EMEA,Netherlands,Next Global Ltd.,Electronics,Pro Smartphone 15,924.47,1,924.47
ORD-202307206,2023-01-01,APAC,Australia,Beta Global Inc.,Electronics,Enterprise Laptop X1,1199.29,5,5996.45
ORD-202327152,2023-01-01,APAC,India,Next Next Group,Electronics,Enterprise Laptop X1,1171.71,14,16403.94
ORD-202319839,2023-01-01,EMEA,United Kingdom,Gamma Next Inc.,Electronics,Enterprise Laptop X1,1186.53,4,4746.12
ORD-202329985,2023-01-01,North America,United States,Prime Prime Ltd.,Electronics,Enterprise Laptop X1,1137.95,1,1137.95
ORD-202308459,2023-01-01,North America,United States,Summit Alpha Corp.,Software,Team Collaboration Tool,196.0,4,784.0
ORD-202324592,2023-01-01,EMEA,United Kingdom,Apex Alpha Solutions,Office Supplies,Ergonomic Chair,395.49,1,395.49
ORD-202303919,2023-01-01,North America,United States,Delta Elite Systems,Office Supplies,Ergonomic Chair,381.74,7,2672.18
ORD-202324576,2023-01-01,North America,Canada,Summit Gamma Corp.,Software,Team Collaboration Tool,208.96,1,208.96
ORD-202312748,2023-01-01,LATAM,Brazil,Prime Next Ltd.,Office Supplies,Standing Desk,684.98,1,684.98
ORD-202320236,2023-01-01,EMEA,Germany,Summit Prime Systems,Electronics,Enterprise Laptop X1,1158.74,4,4634.96
ORD-202317997,2023-01-01,EMEA,Germany,Beta Apex Solutions,Office Supplies,Standing Desk,611.56,1,611.56
ORD-202307466,2023-01-01,LATAM,Brazil,Beta Alpha Inc.,Electronics,"4K Monitor 27""",322.77,5,1613.85
ORD-202328317,2023-01-02,APAC,Japan,Global Global Group,Office Supplies,Ergonomic Chair,432.38,4,1729.52
ORD-202316011,2023-01-02,LATAM,Brazil,Apex Prime Corp.,Electronics,Enterprise Laptop X1,1238.82,9,11149.38
ORD-202305687,2023-01-02,North America,Canada,Gamma Prime Systems,Electronics,Wireless Headset,150.78,2,301.56
ORD-202329255,2023-01-02,APAC,Japan,Gamma Beta Ltd.,Software,Team Collaboration Tool,201.21,24,4829.04
ORD-202303069,2023-01-02,APAC,China,Apex Beta Group,Electronics,Pro Smartphone 15,942.17,4,3768.68
ORD-202326461,2023-01-02,APAC,Australia,Prime Summit Solutions,Electronics,Wireless Headset,147.99,5,739.95
ORD-202326849,2023-01-02,APAC,Australia,Beta Delta Inc.,Electronics,Pro Smartphone 15,892.2,1,892.2
ORD-202325002,2023-01-02,APAC,Singapore,Apex Alpha Group,Electronics,Enterprise Laptop X1,1152.78,1,1152.78
ORD-202322985,2023-01-02,North America,Canada,Global Beta Ltd.,Electronics,Enterprise Laptop X1,1249.93,4,4999.72
ORD-202317268,2023-01-02,APAC,China,Summit Alpha Corp.,Electronics,Docking Station,203.77,11,2241.47
ORD-202312045,2023-01-02,APAC,Australia,Summit Elite Solutions,Office Supplies,Standing Desk,599.79,5,2998.95
ORD-202305772,2023-01-02,EMEA,France,Prime Delta Solutions,Office Supplies,Standing Desk,650.33,2,1300.66
ORD-202315834,2023-01-02,EMEA,United Kingdom,Apex Prime Solutions,Electronics,Enterprise Laptop X1,1040.8,2,2081.6
ORD-202311386,2023-01-02,North America,United States,Elite Apex Ltd.,Electronics,Wireless Headset,158.04,24,3792.96
ORD-202313592,2023-01-02,APAC,India,Summit Alpha Ltd.,Electronics,"4K Monitor 27""",353.87,3,1061.61
ORD-202324726,2023-01-02,EMEA,United Kingdom,Beta Beta Ltd.,Electronics,Enterprise Laptop X1,1177.24,3,3531.72
ORD-202329962,2023-01-02,North America,Canada,Next Apex Group,Electronics,Enterprise Laptop X1,1187.58,2,2375.16
ORD-202314955,2023-01-02,North America,United States,Prime Next Ltd.,Electronics,Docking Station,192.46,2,384.92
